41.0 APEX_CODE,FINER;APEX_PROFILING,ERROR;CALLOUT,ERROR;DB,ERROR;SYSTEM,ERROR;VALIDATION,ERROR;VISUALFORCE,ERROR;WAVE,NONE;WORKFLOW,ERROR
11:44:05.0 (68825)|USER_INFO|[EXTERNAL]|0059E000002qaT2|arkadiusz.celej@ef.com.sprintqa|Central European Time|GMT+01:00
11:44:05.0 (104719)|EXECUTION_STARTED
11:44:05.0 (108307)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
11:44:05.0 (1068327)|CODE_UNIT_STARTED|[EXTERNAL]|01p9E000000OaMG|MyProductivity.getMyStatistics
11:44:05.0 (1181690)|HEAP_ALLOCATE|[72]|Bytes:3
11:44:05.0 (1220807)|HEAP_ALLOCATE|[77]|Bytes:152
11:44:05.0 (1234883)|HEAP_ALLOCATE|[342]|Bytes:408
11:44:05.0 (1249636)|HEAP_ALLOCATE|[355]|Bytes:408
11:44:05.0 (1263337)|HEAP_ALLOCATE|[467]|Bytes:48
11:44:05.0 (1288480)|HEAP_ALLOCATE|[139]|Bytes:6
11:44:05.0 (1355182)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:44:05.0 (1360314)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
11:44:05.0 (1370127)|METHOD_ENTRY|[1]|01p9E000000OaMG|MyProductivity.MyProductivity()
11:44:05.0 (1375544)|STATEMENT_EXECUTE|[1]
11:44:05.0 (1380232)|STATEMENT_EXECUTE|[1]
11:44:05.0 (1408143)|HEAP_ALLOCATE|[50]|Bytes:5
11:44:05.0 (1428064)|HEAP_ALLOCATE|[56]|Bytes:5
11:44:05.0 (1435433)|HEAP_ALLOCATE|[64]|Bytes:7
11:44:05.0 (1458203)|STATEMENT_EXECUTE|[3]
11:44:05.0 (1487756)|HEAP_ALLOCATE|[3]|Bytes:85
11:44:05.0 (1496197)|SYSTEM_METHOD_ENTRY|[1]|UserInfo.UserInfo()
11:44:05.0 (1499162)|STATEMENT_EXECUTE|[1]
11:44:05.0 (1505796)|SYSTEM_METHOD_EXIT|[1]|UserInfo
11:44:05.0 (1520385)|METHOD_ENTRY|[3]||System.UserInfo.getUserId()
11:44:05.0 (1575690)|METHOD_EXIT|[3]||System.UserInfo.getUserId()
11:44:05.0 (1592517)|HEAP_ALLOCATE|[3]|Bytes:4
11:44:05.0 (1598188)|STATEMENT_EXECUTE|[36]
11:44:05.0 (1606866)|METHOD_EXIT|[1]|MyProductivity
11:44:05.0 (1623767)|STATEMENT_EXECUTE|[6]
11:44:05.0 (1625335)|STATEMENT_EXECUTE|[7]
11:44:05.0 (1626323)|STATEMENT_EXECUTE|[7]
11:44:05.0 (1627412)|STATEMENT_EXECUTE|[8]
11:44:05.0 (1701122)|HEAP_ALLOCATE|[8]|Bytes:20
11:44:05.0 (1713630)|CONSTRUCTOR_ENTRY|[8]|01p9E000000OaMG|<init>()
11:44:05.0 (1732974)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
11:44:05.0 (1746492)|STATEMENT_EXECUTE|[36]
11:44:05.0 (1747917)|STATEMENT_EXECUTE|[38]
11:44:05.0 (1748984)|STATEMENT_EXECUTE|[40]
11:44:05.0 (1750075)|STATEMENT_EXECUTE|[42]
11:44:05.0 (1751097)|STATEMENT_EXECUTE|[44]
11:44:05.0 (1754278)|CONSTRUCTOR_EXIT|[8]|01p9E000000OaMG|<init>()
11:44:05.0 (1758373)|STATEMENT_EXECUTE|[9]
11:44:05.0 (1765135)|METHOD_ENTRY|[9]|01p9E000000OaMG|MyProductivity.calculateMyCompletedTasks()
11:44:05.0 (1783779)|STATEMENT_EXECUTE|[20]
11:44:05.0 (1785313)|STATEMENT_EXECUTE|[21]
11:44:05.0 (1901909)|HEAP_ALLOCATE|[21]|Bytes:36
11:44:05.0 (1910977)|METHOD_ENTRY|[13]|01p9E000000B0Gj|TasksSelector.TasksSelector()
11:44:05.0 (1915461)|STATEMENT_EXECUTE|[13]
11:44:05.0 (1918272)|STATEMENT_EXECUTE|[13]
11:44:05.0 (1920876)|METHOD_EXIT|[13]|TasksSelector
11:44:05.0 (1930201)|METHOD_ENTRY|[21]|01p9E000000B0Gj|TasksSelector.getTasksClosedTodayByUser(Id)
11:44:05.0 (1943294)|STATEMENT_EXECUTE|[103]
11:44:05.0 (1944776)|STATEMENT_EXECUTE|[104]
11:44:05.0 (1947007)|HEAP_ALLOCATE|[104]|Bytes:95
11:44:05.0 (1987574)|HEAP_ALLOCATE|[104]|Bytes:4
11:44:05.0 (2004745)|HEAP_ALLOCATE|[104]|Bytes:7
11:44:05.0 (7068690)|HEAP_ALLOCATE|[104]|Bytes:4
11:44:05.0 (7081925)|HEAP_ALLOCATE|[104]|Bytes:0
11:44:05.0 (7176921)|HEAP_ALLOCATE|[104]|Bytes:4
11:44:05.0 (7193756)|METHOD_EXIT|[21]|01p9E000000B0Gj|TasksSelector.getTasksClosedTodayByUser(Id)
11:44:05.0 (7260731)|METHOD_EXIT|[9]|01p9E000000OaMG|MyProductivity.calculateMyCompletedTasks()
11:44:05.0 (7270874)|HEAP_ALLOCATE|[9]|Bytes:4
11:44:05.0 (7275251)|STATEMENT_EXECUTE|[10]
11:44:05.0 (7283597)|METHOD_ENTRY|[10]|01p9E000000OaMG|MyProductivity.calculateMyReachedTasks()
11:44:05.0 (7314055)|STATEMENT_EXECUTE|[24]
11:44:05.0 (7316802)|STATEMENT_EXECUTE|[25]
11:44:05.0 (7332269)|METHOD_ENTRY|[25]|01p9E000000B0Gj|TasksSelector.getTodaysCallTasksReachedByUser(Id)
11:44:05.0 (7353410)|STATEMENT_EXECUTE|[96]
11:44:05.0 (7355481)|STATEMENT_EXECUTE|[97]
11:44:05.0 (7359789)|HEAP_ALLOCATE|[97]|Bytes:127
11:44:05.0 (7379908)|HEAP_ALLOCATE|[97]|Bytes:4
