41.0 APEX_CODE,FINER;APEX_PROFILING,ERROR;CALLOUT,ERROR;DB,ERROR;SYSTEM,ERROR;VALIDATION,ERROR;VISUALFORCE,ERROR;WAVE,NONE;WORKFLOW,ERROR
11:44:12.0 (68484)|USER_INFO|[EXTERNAL]|0059E000002qaT2|arkadiusz.celej@ef.com.sprintqa|Central European Time|GMT+01:00
11:44:12.0 (99656)|EXECUTION_STARTED
11:44:12.0 (103173)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
11:44:12.0 (1138455)|CODE_UNIT_STARTED|[EXTERNAL]|01p9E000000OaMG|MyProductivity.getMyStatistics
11:44:12.0 (1239937)|HEAP_ALLOCATE|[72]|Bytes:3
11:44:12.0 (1271986)|HEAP_ALLOCATE|[77]|Bytes:152
11:44:12.0 (1285781)|HEAP_ALLOCATE|[342]|Bytes:408
11:44:12.0 (1299965)|HEAP_ALLOCATE|[355]|Bytes:408
11:44:12.0 (1313186)|HEAP_ALLOCATE|[467]|Bytes:48
11:44:12.0 (1337325)|HEAP_ALLOCATE|[139]|Bytes:6
11:44:12.0 (1402132)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:44:12.0 (1406844)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
11:44:12.0 (1416283)|METHOD_ENTRY|[1]|01p9E000000OaMG|MyProductivity.MyProductivity()
11:44:12.0 (1421529)|STATEMENT_EXECUTE|[1]
11:44:12.0 (1426051)|STATEMENT_EXECUTE|[1]
11:44:12.0 (1452230)|HEAP_ALLOCATE|[50]|Bytes:5
11:44:12.0 (1481469)|HEAP_ALLOCATE|[56]|Bytes:5
11:44:12.0 (1496849)|HEAP_ALLOCATE|[64]|Bytes:7
11:44:12.0 (1521960)|STATEMENT_EXECUTE|[3]
11:44:12.0 (1552369)|HEAP_ALLOCATE|[3]|Bytes:85
11:44:12.0 (1561220)|SYSTEM_METHOD_ENTRY|[1]|UserInfo.UserInfo()
11:44:12.0 (1564194)|STATEMENT_EXECUTE|[1]
11:44:12.0 (1569909)|SYSTEM_METHOD_EXIT|[1]|UserInfo
11:44:12.0 (1581614)|METHOD_ENTRY|[3]||System.UserInfo.getUserId()
11:44:12.0 (1636663)|METHOD_EXIT|[3]||System.UserInfo.getUserId()
11:44:12.0 (1651875)|HEAP_ALLOCATE|[3]|Bytes:4
11:44:12.0 (1657707)|STATEMENT_EXECUTE|[36]
11:44:12.0 (1666797)|METHOD_EXIT|[1]|MyProductivity
11:44:12.0 (1684741)|STATEMENT_EXECUTE|[6]
11:44:12.0 (1686522)|STATEMENT_EXECUTE|[7]
11:44:12.0 (1687614)|STATEMENT_EXECUTE|[7]
11:44:12.0 (1688690)|STATEMENT_EXECUTE|[8]
11:44:12.0 (1777760)|HEAP_ALLOCATE|[8]|Bytes:20
11:44:12.0 (1796261)|CONSTRUCTOR_ENTRY|[8]|01p9E000000OaMG|<init>()
11:44:12.0 (1820146)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
11:44:12.0 (1857136)|STATEMENT_EXECUTE|[36]
11:44:12.0 (1859027)|STATEMENT_EXECUTE|[38]
11:44:12.0 (1860153)|STATEMENT_EXECUTE|[40]
11:44:12.0 (1861327)|STATEMENT_EXECUTE|[42]
11:44:12.0 (1862386)|STATEMENT_EXECUTE|[44]
11:44:12.0 (1866359)|CONSTRUCTOR_EXIT|[8]|01p9E000000OaMG|<init>()
11:44:12.0 (1871205)|STATEMENT_EXECUTE|[9]
