41.0 APEX_CODE,FINER;APEX_PROFILING,ERROR;CALLOUT,ERROR;DB,ERROR;SYSTEM,ERROR;VALIDATION,ERROR;VISUALFORCE,ERROR;WAVE,NONE;WORKFLOW,ERROR
11:43:12.0 (54257)|USER_INFO|[EXTERNAL]|0059E000002qaT2|arkadiusz.celej@ef.com.sprintqa|Central European Time|GMT+01:00
11:43:12.0 (90438)|EXECUTION_STARTED
11:43:12.0 (94157)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
11:43:12.0 (1080068)|CODE_UNIT_STARTED|[EXTERNAL]|01p9E000000OaMG|MyProductivity.getMyStatistics
11:43:12.0 (1178143)|HEAP_ALLOCATE|[72]|Bytes:3
11:43:12.0 (1211369)|HEAP_ALLOCATE|[77]|Bytes:152
11:43:12.0 (1224710)|HEAP_ALLOCATE|[342]|Bytes:408
11:43:12.0 (1239739)|HEAP_ALLOCATE|[355]|Bytes:408
11:43:12.0 (1252969)|HEAP_ALLOCATE|[467]|Bytes:48
11:43:12.0 (1281010)|HEAP_ALLOCATE|[139]|Bytes:6
11:43:12.0 (1339878)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:43:12.0 (1345179)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
11:43:12.0 (1355024)|METHOD_ENTRY|[1]|01p9E000000OaMG|MyProductivity.MyProductivity()
11:43:12.0 (1360563)|STATEMENT_EXECUTE|[1]
11:43:12.0 (1365201)|STATEMENT_EXECUTE|[1]
11:43:12.0 (1390909)|HEAP_ALLOCATE|[50]|Bytes:5
11:43:12.0 (1408179)|HEAP_ALLOCATE|[56]|Bytes:5
11:43:12.0 (1415375)|HEAP_ALLOCATE|[64]|Bytes:7
11:43:12.0 (1444358)|STATEMENT_EXECUTE|[3]
11:43:12.0 (1476020)|HEAP_ALLOCATE|[3]|Bytes:85
11:43:12.0 (1484866)|SYSTEM_METHOD_ENTRY|[1]|UserInfo.UserInfo()
11:43:12.0 (1487932)|STATEMENT_EXECUTE|[1]
11:43:12.0 (1494066)|SYSTEM_METHOD_EXIT|[1]|UserInfo
11:43:12.0 (1507866)|METHOD_ENTRY|[3]||System.UserInfo.getUserId()
11:43:12.0 (1562958)|METHOD_EXIT|[3]||System.UserInfo.getUserId()
11:43:12.0 (1578624)|HEAP_ALLOCATE|[3]|Bytes:4
11:43:12.0 (1584130)|STATEMENT_EXECUTE|[36]
11:43:12.0 (1593380)|METHOD_EXIT|[1]|MyProductivity
11:43:12.0 (1611020)|STATEMENT_EXECUTE|[6]
11:43:12.0 (1612609)|STATEMENT_EXECUTE|[7]
11:43:12.0 (1613646)|STATEMENT_EXECUTE|[7]
11:43:12.0 (1614774)|STATEMENT_EXECUTE|[8]
11:43:12.0 (1686518)|HEAP_ALLOCATE|[8]|Bytes:20
11:43:12.0 (1699234)|CONSTRUCTOR_ENTRY|[8]|01p9E000000OaMG|<init>()
11:43:12.0 (1718871)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
11:43:12.0 (1731881)|STATEMENT_EXECUTE|[36]
11:43:12.0 (1733269)|STATEMENT_EXECUTE|[38]
11:43:12.0 (1734321)|STATEMENT_EXECUTE|[40]
