41.0 APEX_CODE,FINER;APEX_PROFILING,ERROR;CALLOUT,ERROR;DB,ERROR;SYSTEM,ERROR;VALIDATION,ERROR;VISUALFORCE,ERROR;WAVE,NONE;WORKFLOW,ERROR
11:43:52.0 (51898)|USER_INFO|[EXTERNAL]|0059E000002qaT2|arkadiusz.celej@ef.com.sprintqa|Central European Time|GMT+01:00
11:43:52.0 (80166)|EXECUTION_STARTED
11:43:52.0 (83644)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
11:43:52.0 (1069002)|CODE_UNIT_STARTED|[EXTERNAL]|01p9E000000OaMG|MyProductivity.getMyStatistics
11:43:52.0 (1152065)|HEAP_ALLOCATE|[72]|Bytes:3
11:43:52.0 (1182121)|HEAP_ALLOCATE|[77]|Bytes:152
11:43:52.0 (1194150)|HEAP_ALLOCATE|[342]|Bytes:408
11:43:52.0 (1207547)|HEAP_ALLOCATE|[355]|Bytes:408
11:43:52.0 (1220360)|HEAP_ALLOCATE|[467]|Bytes:48
11:43:52.0 (1243158)|HEAP_ALLOCATE|[139]|Bytes:6
11:43:52.0 (1284368)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:43:52.0 (1289580)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
11:43:52.0 (1299777)|METHOD_ENTRY|[1]|01p9E000000OaMG|MyProductivity.MyProductivity()
11:43:52.0 (1305374)|STATEMENT_EXECUTE|[1]
11:43:52.0 (1309958)|STATEMENT_EXECUTE|[1]
11:43:52.0 (1336739)|HEAP_ALLOCATE|[50]|Bytes:5
11:43:52.0 (1358283)|HEAP_ALLOCATE|[56]|Bytes:5
11:43:52.0 (1365079)|HEAP_ALLOCATE|[64]|Bytes:7
11:43:52.0 (1389526)|STATEMENT_EXECUTE|[3]
11:43:52.0 (1418848)|HEAP_ALLOCATE|[3]|Bytes:85
11:43:52.0 (1427793)|SYSTEM_METHOD_ENTRY|[1]|UserInfo.UserInfo()
11:43:52.0 (1430778)|STATEMENT_EXECUTE|[1]
11:43:52.0 (1437104)|SYSTEM_METHOD_EXIT|[1]|UserInfo
11:43:52.0 (1450820)|METHOD_ENTRY|[3]||System.UserInfo.getUserId()
11:43:52.0 (1512052)|METHOD_EXIT|[3]||System.UserInfo.getUserId()
11:43:52.0 (1529936)|HEAP_ALLOCATE|[3]|Bytes:4
11:43:52.0 (1535984)|STATEMENT_EXECUTE|[36]
11:43:52.0 (1546586)|METHOD_EXIT|[1]|MyProductivity
11:43:52.0 (1564459)|STATEMENT_EXECUTE|[6]
11:43:52.0 (1566054)|STATEMENT_EXECUTE|[7]
11:43:52.0 (1567122)|STATEMENT_EXECUTE|[7]
11:43:52.0 (1568299)|STATEMENT_EXECUTE|[8]
11:43:52.0 (1637599)|HEAP_ALLOCATE|[8]|Bytes:20
11:43:52.0 (1651990)|CONSTRUCTOR_ENTRY|[8]|01p9E000000OaMG|<init>()
11:43:52.0 (1672399)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
11:43:52.0 (1685355)|STATEMENT_EXECUTE|[36]
11:43:52.0 (1686918)|STATEMENT_EXECUTE|[38]
11:43:52.0 (1688008)|STATEMENT_EXECUTE|[40]
11:43:52.0 (1689119)|STATEMENT_EXECUTE|[42]
11:43:52.0 (1690038)|STATEMENT_EXECUTE|[44]
11:43:52.0 (1693319)|CONSTRUCTOR_EXIT|[8]|01p9E000000OaMG|<init>()
11:43:52.0 (1697444)|STATEMENT_EXECUTE|[9]
11:43:52.0 (1705459)|METHOD_ENTRY|[9]|01p9E000000OaMG|MyProductivity.calculateMyCompletedTasks()
11:43:52.0 (1725030)|STATEMENT_EXECUTE|[20]
11:43:52.0 (1726688)|STATEMENT_EXECUTE|[21]
11:43:52.0 (1840391)|HEAP_ALLOCATE|[21]|Bytes:36
11:43:52.0 (1849063)|METHOD_ENTRY|[13]|01p9E000000B0Gj|TasksSelector.TasksSelector()
11:43:52.0 (1853044)|STATEMENT_EXECUTE|[13]
11:43:52.0 (1855405)|STATEMENT_EXECUTE|[13]
11:43:52.0 (1858219)|METHOD_EXIT|[13]|TasksSelector
11:43:52.0 (1867898)|METHOD_ENTRY|[21]|01p9E000000B0Gj|TasksSelector.getTasksClosedTodayByUser(Id)
11:43:52.0 (1880565)|STATEMENT_EXECUTE|[103]
11:43:52.0 (1882032)|STATEMENT_EXECUTE|[104]
11:43:52.0 (1884280)|HEAP_ALLOCATE|[104]|Bytes:95
11:43:52.0 (1905552)|HEAP_ALLOCATE|[104]|Bytes:4
11:43:52.0 (1916506)|HEAP_ALLOCATE|[104]|Bytes:7
11:43:52.0 (6613139)|HEAP_ALLOCATE|[104]|Bytes:4
11:43:52.0 (6627422)|HEAP_ALLOCATE|[104]|Bytes:0
11:43:52.0 (6732372)|HEAP_ALLOCATE|[104]|Bytes:4
11:43:52.0 (6749923)|METHOD_EXIT|[21]|01p9E000000B0Gj|TasksSelector.getTasksClosedTodayByUser(Id)
11:43:52.0 (6865633)|METHOD_EXIT|[9]|01p9E000000OaMG|MyProductivity.calculateMyCompletedTasks()
11:43:52.0 (6875227)|HEAP_ALLOCATE|[9]|Bytes:4
11:43:52.0 (6880082)|STATEMENT_EXECUTE|[10]
11:43:52.0 (6887384)|METHOD_ENTRY|[10]|01p9E000000OaMG|MyProductivity.calculateMyReachedTasks()
11:43:52.0 (6913757)|STATEMENT_EXECUTE|[24]
11:43:52.0 (6915376)|STATEMENT_EXECUTE|[25]
11:43:52.0 (6924758)|METHOD_ENTRY|[25]|01p9E000000B0Gj|TasksSelector.getTodaysCallTasksReachedByUser(Id)
11:43:52.0 (6936261)|STATEMENT_EXECUTE|[96]
11:43:52.0 (6937415)|STATEMENT_EXECUTE|[97]
11:43:52.0 (6940566)|HEAP_ALLOCATE|[97]|Bytes:127
11:43:52.0 (6955189)|HEAP_ALLOCATE|[97]|Bytes:4
11:43:52.0 (11418204)|HEAP_ALLOCATE|[97]|Bytes:4
11:43:52.0 (11431570)|HEAP_ALLOCATE|[97]|Bytes:0
11:43:52.0 (11466974)|HEAP_ALLOCATE|[97]|Bytes:4
11:43:52.0 (11479879)|METHOD_EXIT|[25]|01p9E000000B0Gj|TasksSelector.getTodaysCallTasksReachedByUser(Id)
11:43:52.0 (11500802)|METHOD_EXIT|[10]|01p9E000000OaMG|MyProductivity.calculateMyReachedTasks()
11:43:52.0 (11507828)|HEAP_ALLOCATE|[10]|Bytes:4
11:43:52.0 (11511813)|STATEMENT_EXECUTE|[11]
11:43:52.0 (11518586)|METHOD_ENTRY|[11]|01p9E000000OaMG|MyProductivity.calculateWeeksBooked()
11:43:52.0 (11544121)|STATEMENT_EXECUTE|[32]
11:43:52.0 (11545874)|STATEMENT_EXECUTE|[33]
11:43:52.0 (11551801)|METHOD_EXIT|[11]|01p9E000000OaMG|MyProductivity.calculateWeeksBooked()
11:43:52.0 (11557219)|HEAP_ALLOCATE|[11]|Bytes:4
11:43:52.0 (11560088)|STATEMENT_EXECUTE|[12]
11:43:52.0 (11564558)|METHOD_ENTRY|[12]|01p9E000000OaMG|MyProductivity.myLeads()
11:43:52.0 (11595027)|STATEMENT_EXECUTE|[28]
11:43:52.0 (11597525)|STATEMENT_EXECUTE|[29]
11:43:52.0 (11601703)|HEAP_ALLOCATE|[29]|Bytes:8
11:43:52.0 (11609685)|HEAP_ALLOCATE|[29]|Bytes:4
11:43:52.0 (11624356)|METHOD_ENTRY|[29]|01p9E000000B0Gj|TasksSelector.getTodaysTasksByTypeAndWhoType(String, String)
11:43:52.0 (11638527)|STATEMENT_EXECUTE|[87]
11:43:52.0 (11639905)|STATEMENT_EXECUTE|[88]
11:43:52.0 (11641943)|HEAP_ALLOCATE|[88]|Bytes:191
11:43:52.0 (11654724)|HEAP_ALLOCATE|[88]|Bytes:4
11:43:52.0 (11670085)|HEAP_ALLOCATE|[88]|Bytes:7
11:43:52.0 (30637069)|HEAP_ALLOCATE|[88]|Bytes:8
11:43:52.0 (30666457)|HEAP_ALLOCATE|[88]|Bytes:16
11:43:52.0 (30728686)|HEAP_ALLOCATE|[88]|Bytes:8
11:43:52.0 (30756990)|METHOD_EXIT|[29]|01p9E000000B0Gj|TasksSelector.getTodaysTasksByTypeAndWhoType(String, String)
11:43:52.0 (30789518)|HEAP_ALLOCATE|[29]|Bytes:8
11:43:52.0 (30803676)|HEAP_ALLOCATE|[29]|Bytes:3
11:43:52.0 (30874453)|METHOD_EXIT|[12]|01p9E000000OaMG|MyProductivity.myLeads()
11:43:52.0 (30883035)|HEAP_ALLOCATE|[12]|Bytes:4
11:43:52.0 (30887979)|STATEMENT_EXECUTE|[13]
11:43:52.0 (30943489)|CODE_UNIT_FINISHED|MyProductivity.getMyStatistics
