41.0 APEX_CODE,FINER;APEX_PROFILING,ERROR;CALLOUT,ERROR;DB,ERROR;SYSTEM,ERROR;VALIDATION,ERROR;VISUALFORCE,ERROR;WAVE,NONE;WORKFLOW,ERROR
11:42:52.0 (53520)|USER_INFO|[EXTERNAL]|0059E000002qaT2|arkadiusz.celej@ef.com.sprintqa|Central European Time|GMT+01:00
11:42:52.0 (81280)|EXECUTION_STARTED
11:42:52.0 (84294)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
11:42:52.0 (1131019)|CODE_UNIT_STARTED|[EXTERNAL]|01p9E000000OaMG|MyProductivity.getMyStatistics
11:42:52.0 (1248716)|HEAP_ALLOCATE|[72]|Bytes:3
11:42:52.0 (1291482)|HEAP_ALLOCATE|[77]|Bytes:152
11:42:52.0 (1305849)|HEAP_ALLOCATE|[342]|Bytes:408
11:42:52.0 (1320593)|HEAP_ALLOCATE|[355]|Bytes:408
11:42:52.0 (1334161)|HEAP_ALLOCATE|[467]|Bytes:48
11:42:52.0 (1360262)|HEAP_ALLOCATE|[139]|Bytes:6
11:42:52.0 (1421272)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:42:52.0 (1426726)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
11:42:52.0 (1437009)|METHOD_ENTRY|[1]|01p9E000000OaMG|MyProductivity.MyProductivity()
11:42:52.0 (1442622)|STATEMENT_EXECUTE|[1]
11:42:52.0 (1446485)|STATEMENT_EXECUTE|[1]
11:42:52.0 (1473871)|HEAP_ALLOCATE|[50]|Bytes:5
11:42:52.0 (1494363)|HEAP_ALLOCATE|[56]|Bytes:5
11:42:52.0 (1501482)|HEAP_ALLOCATE|[64]|Bytes:7
11:42:52.0 (1525331)|STATEMENT_EXECUTE|[3]
11:42:52.0 (1555514)|HEAP_ALLOCATE|[3]|Bytes:85
11:42:52.0 (1564302)|SYSTEM_METHOD_ENTRY|[1]|UserInfo.UserInfo()
11:42:52.0 (1567269)|STATEMENT_EXECUTE|[1]
11:42:52.0 (1573307)|SYSTEM_METHOD_EXIT|[1]|UserInfo
11:42:52.0 (1586557)|METHOD_ENTRY|[3]||System.UserInfo.getUserId()
11:42:52.0 (1646506)|METHOD_EXIT|[3]||System.UserInfo.getUserId()
11:42:52.0 (1662629)|HEAP_ALLOCATE|[3]|Bytes:4
11:42:52.0 (1668546)|STATEMENT_EXECUTE|[36]
11:42:52.0 (1678711)|METHOD_EXIT|[1]|MyProductivity
11:42:52.0 (1695743)|STATEMENT_EXECUTE|[6]
11:42:52.0 (1697506)|STATEMENT_EXECUTE|[7]
11:42:52.0 (1698579)|STATEMENT_EXECUTE|[7]
11:42:52.0 (1699636)|STATEMENT_EXECUTE|[8]
11:42:52.0 (1762988)|HEAP_ALLOCATE|[8]|Bytes:20
11:42:52.0 (1776382)|CONSTRUCTOR_ENTRY|[8]|01p9E000000OaMG|<init>()
11:42:52.0 (1797154)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
11:42:52.0 (1811420)|STATEMENT_EXECUTE|[36]
11:42:52.0 (1813108)|STATEMENT_EXECUTE|[38]
11:42:52.0 (1814226)|STATEMENT_EXECUTE|[40]
11:42:52.0 (1815292)|STATEMENT_EXECUTE|[42]
11:42:52.0 (1816347)|STATEMENT_EXECUTE|[44]
11:42:52.0 (1819808)|CONSTRUCTOR_EXIT|[8]|01p9E000000OaMG|<init>()
11:42:52.0 (1824198)|STATEMENT_EXECUTE|[9]
11:42:52.0 (1830765)|METHOD_ENTRY|[9]|01p9E000000OaMG|MyProductivity.calculateMyCompletedTasks()
11:42:52.0 (1850123)|STATEMENT_EXECUTE|[20]
11:42:52.0 (1851575)|STATEMENT_EXECUTE|[21]
11:42:52.0 (1973403)|HEAP_ALLOCATE|[21]|Bytes:36
11:42:52.0 (1983528)|METHOD_ENTRY|[13]|01p9E000000B0Gj|TasksSelector.TasksSelector()
11:42:52.0 (1987644)|STATEMENT_EXECUTE|[13]
11:42:52.0 (1990104)|STATEMENT_EXECUTE|[13]
11:42:52.0 (1993009)|METHOD_EXIT|[13]|TasksSelector
11:42:52.0 (2002431)|METHOD_ENTRY|[21]|01p9E000000B0Gj|TasksSelector.getTasksClosedTodayByUser(Id)
11:42:52.0 (2016395)|STATEMENT_EXECUTE|[103]
11:42:52.0 (2017835)|STATEMENT_EXECUTE|[104]
11:42:52.0 (2020110)|HEAP_ALLOCATE|[104]|Bytes:95
11:42:52.0 (2041547)|HEAP_ALLOCATE|[104]|Bytes:4
11:42:52.0 (2052885)|HEAP_ALLOCATE|[104]|Bytes:7
11:42:52.0 (7105398)|HEAP_ALLOCATE|[104]|Bytes:4
