41.0 APEX_CODE,FINER;APEX_PROFILING,ERROR;CALLOUT,ERROR;DB,ERROR;SYSTEM,ERROR;VALIDATION,ERROR;VISUALFORCE,ERROR;WAVE,NONE;WORKFLOW,ERROR
11:40:40.0 (75174)|USER_INFO|[EXTERNAL]|0059E000002qaT2|arkadiusz.celej@ef.com.sprintqa|Central European Time|GMT+01:00
11:40:40.0 (117893)|EXECUTION_STARTED
11:40:40.0 (123692)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
11:40:40.0 (1315011)|CODE_UNIT_STARTED|[EXTERNAL]|01p9E000000OaMG|MyProductivity.getMyStatistics
11:40:40.0 (1474048)|HEAP_ALLOCATE|[72]|Bytes:3
11:40:40.0 (1531181)|HEAP_ALLOCATE|[77]|Bytes:152
11:40:40.0 (1553834)|HEAP_ALLOCATE|[342]|Bytes:408
11:40:40.0 (1579143)|HEAP_ALLOCATE|[355]|Bytes:408
11:40:40.0 (1603579)|HEAP_ALLOCATE|[467]|Bytes:48
11:40:40.0 (1639104)|HEAP_ALLOCATE|[139]|Bytes:6
11:40:40.0 (1727075)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:40:40.0 (1735528)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
11:40:40.0 (1749822)|METHOD_ENTRY|[1]|01p9E000000OaMG|MyProductivity.MyProductivity()
11:40:40.0 (1758165)|STATEMENT_EXECUTE|[1]
11:40:40.0 (1765309)|STATEMENT_EXECUTE|[1]
11:40:40.0 (1806057)|HEAP_ALLOCATE|[50]|Bytes:5
11:40:40.0 (1835606)|HEAP_ALLOCATE|[56]|Bytes:5
11:40:40.0 (1843675)|HEAP_ALLOCATE|[64]|Bytes:7
11:40:40.0 (1870653)|STATEMENT_EXECUTE|[3]
11:40:40.0 (1903711)|HEAP_ALLOCATE|[3]|Bytes:85
11:40:40.0 (1914213)|SYSTEM_METHOD_ENTRY|[1]|UserInfo.UserInfo()
11:40:40.0 (1917245)|STATEMENT_EXECUTE|[1]
11:40:40.0 (1924522)|SYSTEM_METHOD_EXIT|[1]|UserInfo
11:40:40.0 (1938236)|METHOD_ENTRY|[3]||System.UserInfo.getUserId()
11:40:40.0 (2003342)|METHOD_EXIT|[3]||System.UserInfo.getUserId()
11:40:40.0 (2023398)|HEAP_ALLOCATE|[3]|Bytes:4
11:40:40.0 (2029453)|STATEMENT_EXECUTE|[36]
11:40:40.0 (2040582)|METHOD_EXIT|[1]|MyProductivity
11:40:40.0 (2059037)|STATEMENT_EXECUTE|[6]
