41.0 APEX_CODE,FINER;APEX_PROFILING,ERROR;CALLOUT,ERROR;DB,ERROR;SYSTEM,ERROR;VALIDATION,ERROR;VISUALFORCE,ERROR;WAVE,NONE;WORKFLOW,ERROR
16:03:53.0 (284871)|USER_INFO|[EXTERNAL]|0050Y000001Zp5P|aneesh.bhat@ef.com.sprintqa|India Standard Time|GMT+05:30
16:03:53.0 (329044)|EXECUTION_STARTED
16:03:53.0 (332519)|CODE_UNIT_STARTED|[EXTERNAL]|01p9E000000IAWE|InviteCampaignTest.getInitialDataTest
16:03:53.0 (466972)|HEAP_ALLOCATE|[72]|Bytes:3
16:03:53.0 (508902)|HEAP_ALLOCATE|[77]|Bytes:152
16:03:53.0 (526532)|HEAP_ALLOCATE|[342]|Bytes:408
16:03:53.0 (542449)|HEAP_ALLOCATE|[355]|Bytes:408
16:03:53.0 (557605)|HEAP_ALLOCATE|[467]|Bytes:48
16:03:53.0 (584207)|HEAP_ALLOCATE|[139]|Bytes:6
16:03:53.0 (650932)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1301
16:03:53.0 (671168)|METHOD_ENTRY|[6]|01p9E000000IAWE|InviteCampaignTest.InviteCampaignTest()
16:03:53.0 (679633)|STATEMENT_EXECUTE|[6]
16:03:53.0 (717664)|STATEMENT_EXECUTE|[6]
16:03:53.0 (726419)|METHOD_EXIT|[6]|InviteCampaignTest
16:03:53.0 (1228163)|HEAP_ALLOCATE|[50]|Bytes:5
16:03:53.0 (1257001)|HEAP_ALLOCATE|[56]|Bytes:5
16:03:53.0 (1265800)|HEAP_ALLOCATE|[64]|Bytes:7
16:03:53.0 (1310419)|STATEMENT_EXECUTE|[8]
16:03:53.0 (1313253)|STATEMENT_EXECUTE|[9]
16:03:53.0 (1344860)|HEAP_ALLOCATE|[9]|Bytes:63
16:03:53.0 (1354111)|SYSTEM_METHOD_ENTRY|[1]|Test.Test()
16:03:53.0 (1358024)|STATEMENT_EXECUTE|[1]
16:03:53.0 (1364460)|SYSTEM_METHOD_EXIT|[1]|Test
16:03:53.0 (1377867)|METHOD_ENTRY|[9]||System.Test.startTest()
16:03:53.0 (2540492)|METHOD_EXIT|[9]||System.Test.startTest()
16:03:53.0 (6536247)|HEAP_ALLOCATE|[10]|Bytes:97
16:03:53.0 (6546396)|HEAP_ALLOCATE|[10]|Bytes:158
16:03:53.0 (6549870)|HEAP_ALLOCATE|[10]|Bytes:11
16:03:53.0 (6574277)|METHOD_ENTRY|[2]|01p9E000000FFP9|TestDataUtil.TestDataUtil()
16:03:53.0 (6579884)|STATEMENT_EXECUTE|[2]
16:03:53.0 (6585888)|STATEMENT_EXECUTE|[2]
16:03:53.0 (6587543)|STATEMENT_EXECUTE|[889]
16:03:53.0 (6588974)|STATEMENT_EXECUTE|[896]
16:03:53.0 (6590170)|STATEMENT_EXECUTE|[916]
16:03:53.0 (6591387)|STATEMENT_EXECUTE|[930]
16:03:53.0 (6592578)|STATEMENT_EXECUTE|[944]
16:03:53.0 (6597503)|METHOD_EXIT|[2]|TestDataUtil
16:03:53.0 (6617598)|METHOD_ENTRY|[10]|01p9E000000FFP9|TestDataUtil.createUserRecord()
16:03:53.0 (6691884)|STATEMENT_EXECUTE|[16]
16:03:53.0 (6694253)|STATEMENT_EXECUTE|[17]
16:03:53.0 (6704549)|METHOD_ENTRY|[17]|01p9E000000FFP9|TestDataUtil.SetUniqueValues()
16:03:53.0 (6840105)|STATEMENT_EXECUTE|[5]
16:03:53.0 (6842644)|STATEMENT_EXECUTE|[6]
