41.0 APEX_CODE,FINER;APEX_PROFILING,ERROR;CALLOUT,ERROR;DB,ERROR;SYSTEM,ERROR;VALIDATION,ERROR;VISUALFORCE,ERROR;WAVE,NONE;WORKFLOW,ERROR
11:41:20.0 (60180)|USER_INFO|[EXTERNAL]|0059E000002qaT2|arkadiusz.celej@ef.com.sprintqa|Central European Time|GMT+01:00
11:41:20.0 (95506)|EXECUTION_STARTED
11:41:20.0 (99339)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
11:41:20.0 (1165261)|CODE_UNIT_STARTED|[EXTERNAL]|01p9E000000OaMG|MyProductivity.getMyStatistics
11:41:20.0 (1293459)|HEAP_ALLOCATE|[72]|Bytes:3
11:41:20.0 (1334005)|HEAP_ALLOCATE|[77]|Bytes:152
11:41:20.0 (1349037)|HEAP_ALLOCATE|[342]|Bytes:408
11:41:20.0 (1364808)|HEAP_ALLOCATE|[355]|Bytes:408
11:41:20.0 (1378124)|HEAP_ALLOCATE|[467]|Bytes:48
11:41:20.0 (1403867)|HEAP_ALLOCATE|[139]|Bytes:6
11:41:20.0 (1472972)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:41:20.0 (1478367)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
11:41:20.0 (1488520)|METHOD_ENTRY|[1]|01p9E000000OaMG|MyProductivity.MyProductivity()
11:41:20.0 (1495052)|STATEMENT_EXECUTE|[1]
11:41:20.0 (1499376)|STATEMENT_EXECUTE|[1]
11:41:20.0 (1529360)|HEAP_ALLOCATE|[50]|Bytes:5
11:41:20.0 (1550943)|HEAP_ALLOCATE|[56]|Bytes:5
11:41:20.0 (1558385)|HEAP_ALLOCATE|[64]|Bytes:7
11:41:20.0 (1583054)|STATEMENT_EXECUTE|[3]
11:41:20.0 (1613536)|HEAP_ALLOCATE|[3]|Bytes:85
11:41:20.0 (1622775)|SYSTEM_METHOD_ENTRY|[1]|UserInfo.UserInfo()
11:41:20.0 (1625891)|STATEMENT_EXECUTE|[1]
11:41:20.0 (1632618)|SYSTEM_METHOD_EXIT|[1]|UserInfo
11:41:20.0 (1646920)|METHOD_ENTRY|[3]||System.UserInfo.getUserId()
11:41:20.0 (1706809)|METHOD_EXIT|[3]||System.UserInfo.getUserId()
11:41:20.0 (1724863)|HEAP_ALLOCATE|[3]|Bytes:4
11:41:20.0 (1730745)|STATEMENT_EXECUTE|[36]
11:41:20.0 (1741448)|METHOD_EXIT|[1]|MyProductivity
11:41:20.0 (1779067)|STATEMENT_EXECUTE|[6]
11:41:20.0 (1782566)|STATEMENT_EXECUTE|[7]
11:41:20.0 (1784130)|STATEMENT_EXECUTE|[7]
11:41:20.0 (1785768)|STATEMENT_EXECUTE|[8]
11:41:20.0 (1867098)|HEAP_ALLOCATE|[8]|Bytes:20
11:41:20.0 (1882544)|CONSTRUCTOR_ENTRY|[8]|01p9E000000OaMG|<init>()
11:41:20.0 (1903750)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
